servicio,reserva
113047,253880
162936,130873
170067,391944
32912,365121
20476,246180
121665,205064
145912,107794
113543,88043
140078,60988
119133,148446
2743,72295
168936,41929
13920,285349
70210,187376
54108,243282
166131,181435
185005,337521
107277,152653
144129,247154
104401,94527
60116,345135
6202,186733
89402,105461
5857,41610
159071,348885
65944,379358
23118,290416
180429,50596
173818,45688
15963,44586
30976,219880
55264,123735
199605,351423
139034,47765
141559,289073
20078,341007
197080,240124
120200,82028
27407,151990
86250,303649
40274,398943
140619,71556
47713,169597
194636,5870
70733,325331
156715,11071
28092,346326
26087,157331
19639,134712
104155,94456
67293,53534
63900,174985
177000,117521
80420,21559
59822,262529
86245,264497
166462,343872
57565,299473
165162,294180
125683,332096
193832,193814
175804,14491
190649,238075
169436,289914
120980,120344
60347,230939
78520,6547
17029,352321
122308,278345
164670,17125
173498,134883
20121,364214
120623,115944
83977,248744
191894,179784
71391,94723
135456,270896
154411,206110
177196,48115
162232,391854
114703,223694
21875,223685
84909,5062
52386,249884
77348,365950
148448,298695
194297,39392
169204,222208
164877,41611
117381,138775
65401,330716
167030,31102
161074,309567
96919,158103
150065,229289
66845,307638
199432,342340
130571,196762
114050,117319
187459,184115
157312,185157
54178,118780
143686,36601
38111,6915
168670,182362
175684,119413
191979,47017
91313,105209
107168,388153
50193,239739
51328,86895
32839,358822
165504,3142
178094,136063
185453,119656
149391,40846
199041,144567
142204,73899
116535,389495
183733,70585
113640,191830
127677,152949
157537,1737
64417,351258
69509,117335
35567,223949
12118,23228
141894,34881
160493,256854
27149,43849
108597,127006
81081,253196
168576,194131
9809,1640
6611,174120
54295,371613
30491,383862
114524,292928
137599,204912
6877,173786
124067,225363
12374,335106
104162,58029
121786,58602
104344,256639
152495,231779
148611,237717
56650,3377
134230,125721
170727,302616
65824,103188
25200,332821
56159,379788
28433,8774
26062,39026
55869,182020
177178,38917
123190,189793
62778,387464
47840,196094
169484,389819
83171,221835
16483,218024
158961,288280
153860,399166
183594,164478
100896,291203
96570,212102
58881,365909
19931,134311
118827,209357
195281,357310
7510,160999
90349,30222
24944,295832
197464,230319
130749,6926
852,13559
17662,131748
131630,388022
132570,91223
197112,118108
39891,395175
40204,133634
148202,32357
131655,332651
89013,30802
196296,31300
162727,291530
132637,279096
164659,331045
66780,292740
184017,223180
73935,316534
43076,172376
69793,44166
173780,116653
196961,340766
46673,1684
77357,240148
75524,349738
63975,316727
3873,137552
182668,196285
158094,268835
57225,381907
101446,148091
132086,100337
151692,44615
147540,271041
144898,174818
52362,16969
31378,839
